pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
7.5,8.1,355,17.5,1
7.9,7.5,450,21.2,1
7.4,7.5,440,17.5,1
8.1,7.7,340,18,0
8.5,9.4,460,17.5,0
8.5,8.7,350,17.29,0
7.7,9.1,310,18,1
8,9.9,250,25,1
7.6,11.3,270,25.39,0
7.9,8.7,300,25.6,1
7.6,10.3,280,19.2,0
7.7,8.7,320,20.2,1
7.7,8.4,320,19.29,1
7.7,9.8,360,19.6,1
8.2,8.8,290,17.9,0
7.5,10.3,340,14.27,0
7.8,11.1,260,13.19,0
8,10.8,290,14.4,0
8,7.6,450,13.9,1
7.7,7.7,510,14.5,1
7.7,8.1,525,14.5,1
7.5,9.1,460,12.6,1
7.4,8.9,360,11.8,1
7.5,8.6,600,7.6,1
7.8,8.6,600,12.4,1
7.3,10.2,700,14.9,0
7.3,8.9,700,16,1
7.8,7.6,700,15.6,1
7.8,10.5,440,17.8,0
8.4,8.25,600,22.3,0
8.4,10.8,460,21.5,0
7.6,8.18,420,21.4,1
16.6,9.8,480,21.4,0
7.7,9.43,420,23.2,1
7.5,10.3,450,23,0
7.5,9.8,470,23,1
7.6,10.6,450,24.8,0
7.9,9.4,400,22.5,1
7.8,10.1,400,22.3,0
7.9,8.6,270,17.6,1
8.1,9.7,250,13.9,0
8,8.9,330,9.3,1
7.87,10.2,420,10.4,0
7.8,8.8,365,10.8,1
7.37,8,420,13.5,1
7.5,7.53,480,14.2,1
6.95,7.5,540,16.2,1
7.3,7.1,500,21.3,1
6.8,9.9,650,24.2,1
7.8,8.33,840,21.2,1
7.5,8.8,1500,22.8,1
7.6,8.02,600,16.7,1
7.5,9.9,750,127,1
7.4,8.65,480,11.3,1
7.4,10.9,360,10.9,0
7.6,11.25,800,12.9,0
7.3,9.4,700,16.8,1
7.4,10.55,900,16.7,0
